run_id,N,size,tau,verifier,tuple_bytes_per_rec,receipt_bytes_per_rec,merkle_bytes_per_rec,total_bytes_per_rec,pct_payload,pct_tuple
s1-N1000-b200-t128,1000,200,128,V0,0.0,83.0,0.0,83.0,41.5,29.1228
s1-N1000-b200-t128,1000,200,128,V1,0.0,83.0,32.044,115.044,57.522,40.3663
s1-N1000-b200-t128,1000,200,128,V2minus,0.0,83.0,0.0,83.0,41.5,29.1228
s1-N1000-b200-t128,1000,200,128,V2,16.0,83.0,0.0,99.0,49.5,34.7368
s1-N1000-b2048-t128,1000,2048,128,V0,0.0,83.0,0.0,83.0,4.0527,3.8912
s1-N1000-b2048-t128,1000,2048,128,V1,0.0,83.0,32.044,115.044,5.6174,5.3935
s1-N1000-b2048-t128,1000,2048,128,V2minus,0.0,83.0,0.0,83.0,4.0527,3.8912
s1-N1000-b2048-t128,1000,2048,128,V2,16.0,83.0,0.0,99.0,4.834,4.6414
s1-N10000-b200-t128,10000,200,128,V0,0.0,83.0,0.0,83.0,41.5,29.1228
s1-N10000-b200-t128,10000,200,128,V1,0.0,83.0,32.017,115.017,57.5086,40.3569
s1-N10000-b200-t128,10000,200,128,V2minus,0.0,83.0,0.0,83.0,41.5,29.1228
s1-N10000-b200-t128,10000,200,128,V2,16.0,83.0,0.0,99.0,49.5,34.7368
s1-N10000-b2048-t128,10000,2048,128,V0,0.0,83.0,0.0,83.0,4.0527,3.8912
s1-N10000-b2048-t128,10000,2048,128,V1,0.0,83.0,32.017,115.017,5.6161,5.3923
s1-N10000-b2048-t128,10000,2048,128,V2minus,0.0,83.0,0.0,83.0,4.0527,3.8912
s1-N10000-b2048-t128,10000,2048,128,V2,16.0,83.0,0.0,99.0,4.834,4.6414
s1-N10000-b200-t64,10000,200,64,V2,8.0,83.0,0.0,91.0,45.5,31.9298
s1-N10000-b200-t96,10000,200,96,V2,12.0,83.0,0.0,95.0,47.5,33.3333
s1-N10000-b200-t256,10000,200,256,V2,32.0,83.0,0.0,115.0,57.5,40.3509
s1-N10000-b2048-t64,10000,2048,64,V2,8.0,83.0,0.0,91.0,4.4434,4.2663
s1-N10000-b2048-t96,10000,2048,96,V2,12.0,83.0,0.0,95.0,4.6387,4.4538
s1-N10000-b2048-t256,10000,2048,256,V2,32.0,83.0,0.0,115.0,5.6152,5.3915
