run_id,phase,verifier,N,size,tau,fsync_policy,rep,wall_s,cpu_s,peak_rss_mb
s1-N1000-b200-t128,migrate,none,1000,200,128,per_record,1,20.176057,1.422477,30.63
s1-N1000-b200-t128,migrate,proof,1000,200,128,per_record,1,25.244537,1.584601,30.63
s1-N1000-b200-t128,verify,V0,1000,200,128,-,1,0.058317,0.058311,30.63
s1-N1000-b200-t128,verify,V1S,1000,200,128,-,1,0.019178,0.019187,30.63
s1-N1000-b200-t128,verify,V2minus,1000,200,128,-,1,0.150459,0.150471,30.63
s1-N1000-b200-t128,verify,V2,1000,200,128,-,1,0.105713,0.105725,30.63
s1-N1000-b200-t128,migrate,none,1000,200,128,per_record,2,19.710814,1.296241,30.63
s1-N1000-b200-t128,migrate,proof,1000,200,128,per_record,2,25.10857,1.47789,30.63
s1-N1000-b200-t128,verify,V0,1000,200,128,-,2,0.062194,0.062206,30.63
s1-N1000-b200-t128,verify,V1S,1000,200,128,-,2,0.020456,0.020465,30.63
s1-N1000-b200-t128,verify,V2minus,1000,200,128,-,2,0.149537,0.14955,30.63
s1-N1000-b200-t128,verify,V2,1000,200,128,-,2,0.108225,0.108235,30.63
s1-N1000-b200-t128,migrate,none,1000,200,128,per_record,3,20.207876,1.323325,30.63
s1-N1000-b200-t128,migrate,proof,1000,200,128,per_record,3,29.272747,1.566434,30.63
s1-N1000-b200-t128,verify,V0,1000,200,128,-,3,0.057653,0.057662,30.63
s1-N1000-b200-t128,verify,V1S,1000,200,128,-,3,0.0211,0.021109,30.63
s1-N1000-b200-t128,verify,V2minus,1000,200,128,-,3,0.144722,0.144719,30.63
s1-N1000-b200-t128,verify,V2,1000,200,128,-,3,0.105515,0.105547,30.63
s1-N1000-b200-t128,migrate,none,1000,200,128,group:1000,1,0.250987,0.226881,30.63
s1-N1000-b200-t128,migrate,proof,1000,200,128,group:1000,1,0.291293,0.243611,30.63
s1-N1000-b200-t128,migrate,none,1000,200,128,group:1000,2,0.265792,0.229537,30.63
s1-N1000-b200-t128,migrate,proof,1000,200,128,group:1000,2,0.300365,0.251538,30.63
s1-N1000-b200-t128,migrate,none,1000,200,128,group:1000,3,0.263818,0.235235,30.63
s1-N1000-b200-t128,migrate,proof,1000,200,128,group:1000,3,0.296487,0.243417,30.63
s1-N1000-b2048-t128,migrate,none,1000,2048,128,per_record,1,22.343059,1.350555,34.87
s1-N1000-b2048-t128,migrate,proof,1000,2048,128,per_record,1,31.906936,1.615867,34.87
s1-N1000-b2048-t128,verify,V0,1000,2048,128,-,1,0.067641,0.067652,34.87
s1-N1000-b2048-t128,verify,V1S,1000,2048,128,-,1,0.020982,0.020992,34.87
s1-N1000-b2048-t128,verify,V2minus,1000,2048,128,-,1,0.14766,0.147658,34.87
s1-N1000-b2048-t128,verify,V2,1000,2048,128,-,1,0.112883,0.112895,34.87
s1-N1000-b2048-t128,migrate,none,1000,2048,128,per_record,2,22.915808,1.380672,34.87
s1-N1000-b2048-t128,migrate,proof,1000,2048,128,per_record,2,34.217604,1.659688,34.87
s1-N1000-b2048-t128,verify,V0,1000,2048,128,-,2,0.065643,0.065654,34.87
s1-N1000-b2048-t128,verify,V1S,1000,2048,128,-,2,0.020919,0.020928,34.87
s1-N1000-b2048-t128,verify,V2minus,1000,2048,128,-,2,0.150951,0.150948,34.87
s1-N1000-b2048-t128,verify,V2,1000,2048,128,-,2,0.111457,0.111467,34.87
s1-N1000-b2048-t128,migrate,none,1000,2048,128,per_record,3,27.553505,1.434471,34.87
s1-N1000-b2048-t128,migrate,proof,1000,2048,128,per_record,3,34.393581,1.623183,34.87
s1-N1000-b2048-t128,verify,V0,1000,2048,128,-,3,0.066748,0.066759,34.87
s1-N1000-b2048-t128,verify,V1S,1000,2048,128,-,3,0.025951,0.025961,34.87
s1-N1000-b2048-t128,verify,V2minus,1000,2048,128,-,3,0.153955,0.153965,34.87
s1-N1000-b2048-t128,verify,V2,1000,2048,128,-,3,0.114229,0.114238,34.87
s1-N1000-b2048-t128,migrate,none,1000,2048,128,group:1000,1,0.290031,0.251437,34.87
s1-N1000-b2048-t128,migrate,proof,1000,2048,128,group:1000,1,0.320599,0.261934,34.87
s1-N1000-b2048-t128,migrate,none,1000,2048,128,group:1000,2,0.277411,0.240314,34.87
s1-N1000-b2048-t128,migrate,proof,1000,2048,128,group:1000,2,0.319205,0.262956,34.87
s1-N1000-b2048-t128,migrate,none,1000,2048,128,group:1000,3,0.275351,0.240296,34.87
s1-N1000-b2048-t128,migrate,proof,1000,2048,128,group:1000,3,0.304519,0.25872,34.87
s1-N10000-b200-t128,migrate,none,10000,200,128,per_record,1,261.639761,13.908495,35.9
s1-N10000-b200-t128,migrate,proof,10000,200,128,per_record,1,340.47552,15.89282,35.9
s1-N10000-b200-t128,verify,V0,10000,200,128,-,1,0.549623,0.526126,38.73
s1-N10000-b200-t128,verify,V1S,10000,200,128,-,1,0.059737,0.059748,35.9
s1-N10000-b200-t128,verify,V2minus,10000,200,128,-,1,1.379976,1.37994,38.73
s1-N10000-b200-t128,verify,V2,10000,200,128,-,1,0.966548,0.96582,38.72
s1-N10000-b200-t128,migrate,none,10000,200,128,per_record,2,266.141161,13.969092,35.9
s1-N10000-b200-t128,migrate,proof,10000,200,128,per_record,2,346.922748,15.942292,36.02
s1-N10000-b200-t128,verify,V0,10000,200,128,-,2,0.543801,0.525692,38.89
s1-N10000-b200-t128,verify,V1S,10000,200,128,-,2,0.062166,0.062175,35.9
s1-N10000-b200-t128,verify,V2minus,10000,200,128,-,2,1.36729,1.366527,38.73
s1-N10000-b200-t128,verify,V2,10000,200,128,-,2,0.973794,0.973732,38.79
s1-N10000-b200-t128,migrate,none,10000,200,128,per_record,3,272.780989,14.07433,35.9
s1-N10000-b200-t128,migrate,proof,10000,200,128,per_record,3,345.34836,15.997072,36.05
s1-N10000-b200-t128,verify,V0,10000,200,128,-,3,0.54178,0.518534,38.75
s1-N10000-b200-t128,verify,V1S,10000,200,128,-,3,0.062373,0.062344,35.9
s1-N10000-b200-t128,verify,V2minus,10000,200,128,-,3,1.357145,1.357096,38.84
s1-N10000-b200-t128,verify,V2,10000,200,128,-,3,0.965392,0.965323,38.71
s1-N10000-b200-t128,migrate,none,10000,200,128,group:1000,1,3.014481,2.468273,35.9
s1-N10000-b200-t128,migrate,proof,10000,200,128,group:1000,1,3.165919,2.488222,37.87
s1-N10000-b200-t128,migrate,none,10000,200,128,group:1000,2,2.968536,2.411059,35.9
s1-N10000-b200-t128,migrate,proof,10000,200,128,group:1000,2,3.106474,2.472317,37.9
s1-N10000-b200-t128,migrate,none,10000,200,128,group:1000,3,2.954447,2.378436,35.9
s1-N10000-b200-t128,migrate,proof,10000,200,128,group:1000,3,3.08872,2.484079,37.79
s1-N10000-b2048-t128,migrate,none,10000,2048,128,per_record,1,287.866126,14.449254,36.66
s1-N10000-b2048-t128,migrate,proof,10000,2048,128,per_record,1,359.076875,16.187452,36.66
s1-N10000-b2048-t128,verify,V0,10000,2048,128,-,1,0.621856,0.596869,38.9
s1-N10000-b2048-t128,verify,V1S,10000,2048,128,-,1,0.057609,0.057619,36.66
s1-N10000-b2048-t128,verify,V2minus,10000,2048,128,-,1,1.414964,1.414485,38.77
s1-N10000-b2048-t128,verify,V2,10000,2048,128,-,1,1.019563,1.019418,38.73
s1-N10000-b2048-t128,migrate,none,10000,2048,128,per_record,2,287.831453,14.439794,36.66
s1-N10000-b2048-t128,migrate,proof,10000,2048,128,per_record,2,355.838138,16.128532,36.66
s1-N10000-b2048-t128,verify,V0,10000,2048,128,-,2,0.584092,0.558368,38.73
s1-N10000-b2048-t128,verify,V1S,10000,2048,128,-,2,0.058169,0.05818,36.66
s1-N10000-b2048-t128,verify,V2minus,10000,2048,128,-,2,1.389566,1.389538,38.86
s1-N10000-b2048-t128,verify,V2,10000,2048,128,-,2,1.019308,1.01931,38.71
s1-N10000-b2048-t128,migrate,none,10000,2048,128,per_record,3,287.323509,14.501753,36.66
s1-N10000-b2048-t128,migrate,proof,10000,2048,128,per_record,3,351.772889,16.091282,36.66
s1-N10000-b2048-t128,verify,V0,10000,2048,128,-,3,0.586525,0.560266,38.74
s1-N10000-b2048-t128,verify,V1S,10000,2048,128,-,3,0.061035,0.061034,36.66
s1-N10000-b2048-t128,verify,V2minus,10000,2048,128,-,3,1.381258,1.380383,38.73
