run_id,seed,N,size,tau,k,fault,eps,verifier,mode,trial,verdict,tp,fp,fn,detected
s1001-N10000-b200-t128,1001,10000,200,128,1,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,5,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,10,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,25,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,50,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,100,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,200,F1b,0.001,V1,sampling,1,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,500,F1b,0.001,V1,sampling,1,FAIL,1,0,0,1
s1001-N10000-b200-t128,1001,10000,200,128,1,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,5,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,10,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,25,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,50,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,100,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,200,F1b,0.001,V1,sampling,2,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,500,F1b,0.001,V1,sampling,2,FAIL,1,0,0,1
s1001-N10000-b200-t128,1001,10000,200,128,1,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,5,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,10,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,25,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,50,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,100,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,200,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,500,F1b,0.001,V1,sampling,3,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,1,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,5,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,10,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,25,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,50,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,100,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,200,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,500,F1b,0.001,V1,sampling,4,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,1,F1b,0.001,V1,sampling,5,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,5,F1b,0.001,V1,sampling,5,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,10,F1b,0.001,V1,sampling,5,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,25,F1b,0.001,V1,sampling,5,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,50,F1b,0.001,V1,sampling,5,PASS,0,0,0,0
s1001-N10000-b200-t128,1001,10000,200,128,100,F1b,0.001,V1,sampling,5,PASS,0,0,0,0
